cod_produto,cod_categoria,ean,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_produto,tamanho_medida,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
7898912288110,,7898912288110,ALCOOL GEL ABSOLUTO 70 INPM 5L,,,,,,,,ABSOLUTO,,,,,,,,,,,,,,,,,,,,
7898912288196,,7898912288196,"ALCOOL GEL ABSOLUTO ACEND 80,0 500ML",,,,,,,,ABSOLUTO,,,,,,,,,,,,,,,,,,,,
7898912288202,,7898912288202,ALCOOL GEL ABSOLUTO ACENDEDOR 80 INPM 5L,,,,,,,,ABSOLUTO,,,,,,,,,,,,,,,,,,,,
7898913886100,,7898913886100,VITTA LIRIO LIQ 120ML 7898913886100,,,,,,,,VITTA,,,,,,,,,,,,,,,,,,,,
7898913886124,,7898913886124,VITTA STILLETO LIQ 120ML 7898913886124,,,,,,,,VITTA,,,,,,,,,,,,,,,,,,,,
7898913886643,,7898913886643,VITTA PITANGA LIQ 120ML 7898913886643,,,,,,,,VITTA,,,,,,,,,,,,,,,,,,,,
7898913886650,,7898913886650,VITTA CAPIM LIMAO LIQ 120ML 7898913886650,,,,,,,,VITTA,,,,,,,,,,,,,,,,,,,,
7898913886827,,7898913886827,VITTA MADEIRA LIQ 120ML 7898913886827,,,,,,,,VITTA,,,,,,,,,,,,,,,,,,,,
7898913886834,,7898913886834,VITTA PATCHOULI LIQ 120ML 7898913886834,,,,,,,,VITTA,,,,,,,,,,,,,,,,,,,,
7898913887107,,7898913887107,VITTA LAVANDA LIQ 120ML 7898913887107,,,,,,,,VITTA,,,,,,,,,,,,,,,,,,,,
7898915453034,,7898915453034,ANTI MOFO SANTA CLARA NEUTRO 80G,,,,,,,,SANTA CLARA,,,,,,,,,,,,,,,,,,,,
